estudiante_id,numero_lista,materia,trimestre,seccion,fecha,semana,tema,participaciones,tipo_participacion,asistencia
anon_232,,Estructuras de Datos,2526-1,,2025-09-09,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-09-11,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-09-25,3,Listas dobles | Listas circulares,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-09-30,4,Pilas,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-10-02,4,Pilas,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-10-07,5,Colas,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-10-09,5,Colas,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-10-15,6,Complejidad en tiempo. Complejidad en espacio.,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-10-26,7,Árboles Generales,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-10-30,8,Árboles binarios,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-11-04,9,Árboles binarios de búsqueda,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-11-11,10,Expresiones matemáticas,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-11-13,10,Expresiones matemáticas,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-11-18,11,Árboles B,0.0,,
anon_232,,Estructuras de Datos,2526-1,,2025-11-24,12,Árboles balanceados (AVL),0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-09-09,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-09-11,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-09-25,3,Listas dobles | Listas circulares,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-09-30,4,Pilas,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-10-02,4,Pilas,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-10-07,5,Colas,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-10-09,5,Colas,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-10-15,6,Complejidad en tiempo. Complejidad en espacio.,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-10-26,7,Árboles Generales,1.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-10-30,8,Árboles binarios,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-11-04,9,Árboles binarios de búsqueda,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-11-11,10,Expresiones matemáticas,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-11-13,10,Expresiones matemáticas,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-11-18,11,Árboles B,0.0,,
anon_147,,Estructuras de Datos,2526-1,,2025-11-24,12,Árboles balanceados (AVL),0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-09-09,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-09-11,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-09-25,3,Listas dobles | Listas circulares,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-09-30,4,Pilas,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-10-02,4,Pilas,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-10-07,5,Colas,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-10-09,5,Colas,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-10-15,6,Complejidad en tiempo. Complejidad en espacio.,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-10-26,7,Árboles Generales,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-10-30,8,Árboles binarios,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-11-04,9,Árboles binarios de búsqueda,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-11-11,10,Expresiones matemáticas,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-11-13,10,Expresiones matemáticas,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-11-18,11,Árboles B,0.0,,
anon_145,,Estructuras de Datos,2526-1,,2025-11-24,12,Árboles balanceados (AVL),0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-09-09,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-09-11,1,Introducción al curso. Introducción a las Estructuras de datos dinámicas. Fundamentación: Punteros.,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-09-25,3,Listas dobles | Listas circulares,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-09-30,4,Pilas,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-10-02,4,Pilas,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-10-07,5,Colas,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-10-09,5,Colas,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-10-15,6,Complejidad en tiempo. Complejidad en espacio.,0.0,,
anon_199,,Estructuras de Datos,2526-1,,2025-10-26,7,Árboles Generales,0.0,,
