numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,asistencia,anio_academico
1,anon_148,Computación Emergente,2425-3,1,1,jueves,18,contenido,0,,4
1,anon_148,Computación Emergente,2425-3,1,2,jueves,0,sin_clase,,,4
1,anon_148,Computación Emergente,2425-3,1,3,jueves,20,contenido,0,,4
1,anon_148,Computación Emergente,2425-3,1,4,jueves,0,evaluacion,0,,4
1,anon_148,Computación Emergente,2425-3,1,5,jueves,5,contenido,0,,4
1,anon_148,Computación Emergente,2425-3,1,6,jueves,6,contenido,1,1,4
1,anon_148,Computación Emergente,2425-3,1,7,jueves,9,contenido,0,,4
1,anon_148,Computación Emergente,2425-3,1,8,jueves,0,evaluacion,0,,4
1,anon_148,Computación Emergente,2425-3,1,9,jueves,26,contenido,0,,4
1,anon_148,Computación Emergente,2425-3,1,10,jueves,28,contenido,0,,4
1,anon_148,Computación Emergente,2425-3,1,11,jueves,12,contenido,0,,4
1,anon_148,Computación Emergente,2425-3,1,12,jueves,0,evaluacion,0,,4
2,anon_149,Computación Emergente,2425-3,1,1,jueves,18,contenido,0,,4
2,anon_149,Computación Emergente,2425-3,1,2,jueves,0,sin_clase,,,4
2,anon_149,Computación Emergente,2425-3,1,3,jueves,20,contenido,0,,4
2,anon_149,Computación Emergente,2425-3,1,4,jueves,0,evaluacion,0,,4
2,anon_149,Computación Emergente,2425-3,1,5,jueves,5,contenido,0,,4
2,anon_149,Computación Emergente,2425-3,1,6,jueves,6,contenido,1,1,4
2,anon_149,Computación Emergente,2425-3,1,7,jueves,9,contenido,1,1,4
2,anon_149,Computación Emergente,2425-3,1,8,jueves,0,evaluacion,0,,4
2,anon_149,Computación Emergente,2425-3,1,9,jueves,26,contenido,1,1,4
2,anon_149,Computación Emergente,2425-3,1,10,jueves,28,contenido,1,1,4
2,anon_149,Computación Emergente,2425-3,1,11,jueves,12,contenido,1,1,4
2,anon_149,Computación Emergente,2425-3,1,12,jueves,0,evaluacion,0,,4
3,anon_150,Computación Emergente,2425-3,1,1,jueves,18,contenido,0,,4
3,anon_150,Computación Emergente,2425-3,1,2,jueves,0,sin_clase,,,4
3,anon_150,Computación Emergente,2425-3,1,3,jueves,20,contenido,0,,4
3,anon_150,Computación Emergente,2425-3,1,4,jueves,0,evaluacion,0,,4
3,anon_150,Computación Emergente,2425-3,1,5,jueves,5,contenido,0,,4
3,anon_150,Computación Emergente,2425-3,1,6,jueves,6,contenido,1,1,4
3,anon_150,Computación Emergente,2425-3,1,7,jueves,9,contenido,0,,4
3,anon_150,Computación Emergente,2425-3,1,8,jueves,0,evaluacion,0,,4
3,anon_150,Computación Emergente,2425-3,1,9,jueves,26,contenido,1,1,4
3,anon_150,Computación Emergente,2425-3,1,10,jueves,28,contenido,1,1,4
3,anon_150,Computación Emergente,2425-3,1,11,jueves,12,contenido,1,1,4
3,anon_150,Computación Emergente,2425-3,1,12,jueves,0,evaluacion,0,,4
4,anon_151,Computación Emergente,2425-3,1,1,jueves,18,contenido,0,,5
4,anon_151,Computación Emergente,2425-3,1,2,jueves,0,sin_clase,,,5
4,anon_151,Computación Emergente,2425-3,1,3,jueves,20,contenido,0,,5
4,anon_151,Computación Emergente,2425-3,1,4,jueves,0,evaluacion,0,,5
4,anon_151,Computación Emergente,2425-3,1,5,jueves,5,contenido,0,,5
4,anon_151,Computación Emergente,2425-3,1,6,jueves,6,contenido,0,,5
4,anon_151,Computación Emergente,2425-3,1,7,jueves,9,contenido,1,1,5
4,anon_151,Computación Emergente,2425-3,1,8,jueves,0,evaluacion,0,,5
4,anon_151,Computación Emergente,2425-3,1,9,jueves,26,contenido,0,,5
4,anon_151,Computación Emergente,2425-3,1,10,jueves,28,contenido,0,,5
4,anon_151,Computación Emergente,2425-3,1,11,jueves,12,contenido,0,,5
4,anon_151,Computación Emergente,2425-3,1,12,jueves,0,evaluacion,0,,5
