tratamiento,materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,prediccion_continua,evidencia_completa
nan,Algoritmos y Programación,2425-2,anon_025,1,8,5.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_026,1,4,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_026,1,6,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_026,1,8,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_027,1,4,10.0,1.4022119854307913,True
nan,Algoritmos y Programación,2425-2,anon_027,1,6,10.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_027,1,8,10.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_028,1,4,18.0,10.66366549128459,True
nan,Algoritmos y Programación,2425-2,anon_028,1,6,18.0,4.1689449899151345,True
nan,Algoritmos y Programación,2425-2,anon_028,1,8,18.0,7.761698312634749,True
nan,Algoritmos y Programación,2425-2,anon_029,1,4,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_029,1,6,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_029,1,8,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_030,1,4,15.0,10.66366549128459,True
nan,Algoritmos y Programación,2425-2,anon_030,1,6,15.0,4.1689449899151345,True
nan,Algoritmos y Programación,2425-2,anon_030,1,8,15.0,9.067694765911643,True
nan,Algoritmos y Programación,2425-2,anon_031,2,4,1.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_031,2,6,1.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_031,2,8,1.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_032,2,4,3.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_032,2,6,3.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_032,2,8,3.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_033,2,4,20.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_033,2,6,20.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_033,2,8,20.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_034,2,4,4.0,4.278994689443125,True
nan,Algoritmos y Programación,2425-2,anon_034,2,6,4.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_034,2,8,4.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_035,2,4,2.0,7.642953842709721,True
nan,Algoritmos y Programación,2425-2,anon_035,2,6,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_035,2,8,2.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_036,2,4,8.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_036,2,6,8.0,0.001830017980828722,True
nan,Algoritmos y Programación,2425-2,anon_036,2,8,8.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_037,2,4,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_037,2,6,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_037,2,8,0.0,2.840077038318065,True
nan,Algoritmos y Programación,2425-2,anon_038,2,4,1.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_038,2,6,1.0,0.001830017980828722,True
nan,Algoritmos y Programación,2425-2,anon_038,2,8,1.0,0.001830017980828722,True
nan,Algoritmos y Programación,2425-2,anon_039,2,4,7.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_039,2,6,7.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_039,2,8,7.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_040,2,4,2.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_040,2,6,2.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_040,2,8,2.0,5.799326981246219,True
nan,Algoritmos y Programación,2425-2,anon_041,2,4,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_041,2,6,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_041,2,8,0.0,1.0121530565491046,True
nan,Algoritmos y Programación,2425-2,anon_042,2,4,8.0,4.278994689443125,True
