tratamiento,materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,prediccion_continua,evidencia_completa
dropna,Algoritmos y Programación,2425-2,anon_005,1,8,10.0,4.034893119480472,True
dropna,Algoritmos y Programación,2425-2,anon_006,1,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_006,1,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_006,1,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_007,1,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_007,1,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_007,1,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_008,1,4,16.0,8.672535372959825,True
dropna,Algoritmos y Programación,2425-2,anon_008,1,6,16.0,6.666761295024926,True
dropna,Algoritmos y Programación,2425-2,anon_008,1,8,16.0,8.672535372959825,True
dropna,Algoritmos y Programación,2425-2,anon_009,1,4,9.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_009,1,6,9.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_009,1,8,9.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_010,1,4,22.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_010,1,6,22.0,4.278994689443125,True
dropna,Algoritmos y Programación,2425-2,anon_010,1,8,22.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_011,1,4,6.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_011,1,6,6.0,1.4022119854307913,True
dropna,Algoritmos y Programación,2425-2,anon_011,1,8,6.0,1.4022119854307913,True
dropna,Algoritmos y Programación,2425-2,anon_012,1,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_012,1,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_012,1,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_013,1,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_013,1,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_013,1,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_014,1,4,23.0,11.64662863720853,True
dropna,Algoritmos y Programación,2425-2,anon_014,1,6,23.0,6.666761295024926,True
dropna,Algoritmos y Programación,2425-2,anon_014,1,8,23.0,10.66366549128459,True
dropna,Algoritmos y Programación,2425-2,anon_015,1,4,24.0,8.672535372959825,True
dropna,Algoritmos y Programación,2425-2,anon_015,1,6,24.0,9.067694765911643,True
dropna,Algoritmos y Programación,2425-2,anon_015,1,8,24.0,14.635983830384934,True
dropna,Algoritmos y Programación,2425-2,anon_016,1,4,1.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_016,1,6,1.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_016,1,8,1.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_017,1,4,1.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_017,1,6,1.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_017,1,8,1.0,4.034893119480472,True
dropna,Algoritmos y Programación,2425-2,anon_018,1,4,17.0,7.761698312634749,True
dropna,Algoritmos y Programación,2425-2,anon_018,1,6,17.0,6.892618631739804,True
dropna,Algoritmos y Programación,2425-2,anon_018,1,8,17.0,11.64662863720853,True
dropna,Algoritmos y Programación,2425-2,anon_019,1,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_019,1,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_019,1,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_020,1,4,24.0,8.672535372959825,True
dropna,Algoritmos y Programación,2425-2,anon_020,1,6,24.0,9.067694765911643,True
dropna,Algoritmos y Programación,2425-2,anon_020,1,8,24.0,10.66366549128459,True
dropna,Algoritmos y Programación,2425-2,anon_021,1,4,4.0,1.4022119854307913,True
dropna,Algoritmos y Programación,2425-2,anon_021,1,6,4.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_021,1,8,4.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_022,1,4,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_022,1,6,2.0,6.666761295024926,True
dropna,Algoritmos y Programación,2425-2,anon_022,1,8,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_023,1,4,19.0,8.672535372959825,True
dropna,Algoritmos y Programación,2425-2,anon_023,1,6,19.0,11.64662863720853,True
dropna,Algoritmos y Programación,2425-2,anon_023,1,8,19.0,9.067694765911643,True
dropna,Algoritmos y Programación,2425-2,anon_024,1,4,7.0,1.4022119854307913,True
dropna,Algoritmos y Programación,2425-2,anon_024,1,6,7.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_024,1,8,7.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_025,1,4,5.0,7.088301723207444,True
dropna,Algoritmos y Programación,2425-2,anon_025,1,6,5.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_025,1,8,5.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_026,1,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_026,1,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_026,1,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_027,1,4,10.0,1.4022119854307913,True
dropna,Algoritmos y Programación,2425-2,anon_027,1,6,10.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_027,1,8,10.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_028,1,4,18.0,10.66366549128459,True
dropna,Algoritmos y Programación,2425-2,anon_028,1,6,18.0,4.1689449899151345,True
dropna,Algoritmos y Programación,2425-2,anon_028,1,8,18.0,7.761698312634749,True
dropna,Algoritmos y Programación,2425-2,anon_029,1,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_029,1,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_029,1,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_030,1,4,15.0,10.66366549128459,True
dropna,Algoritmos y Programación,2425-2,anon_030,1,6,15.0,4.1689449899151345,True
dropna,Algoritmos y Programación,2425-2,anon_030,1,8,15.0,9.067694765911643,True
dropna,Algoritmos y Programación,2425-2,anon_031,2,4,1.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_031,2,6,1.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_031,2,8,1.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_032,2,4,3.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_032,2,6,3.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_032,2,8,3.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_033,2,4,20.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_033,2,6,20.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_033,2,8,20.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_034,2,4,4.0,4.278994689443125,True
dropna,Algoritmos y Programación,2425-2,anon_034,2,6,4.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_034,2,8,4.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_035,2,4,2.0,7.642953842709721,True
dropna,Algoritmos y Programación,2425-2,anon_035,2,6,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_035,2,8,2.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_036,2,4,8.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_036,2,6,8.0,0.001830017980828722,True
dropna,Algoritmos y Programación,2425-2,anon_036,2,8,8.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_037,2,4,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_037,2,6,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_037,2,8,0.0,2.840077038318065,True
dropna,Algoritmos y Programación,2425-2,anon_038,2,4,1.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_038,2,6,1.0,0.001830017980828722,True
dropna,Algoritmos y Programación,2425-2,anon_038,2,8,1.0,0.001830017980828722,True
dropna,Algoritmos y Programación,2425-2,anon_039,2,4,7.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_039,2,6,7.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_039,2,8,7.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_040,2,4,2.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_040,2,6,2.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_040,2,8,2.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_041,2,4,0.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_041,2,6,0.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_041,2,8,0.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_042,2,4,8.0,4.278994689443125,True
